id;logradouro;este;norte;zona
HIDRANTE-066;ESTRADA ENGENHEIRO GENTIL FORN 2300;668707;7592852;23S
HIDRANTE-067;RUA MAJOR LINO LIMA 167;667100;7591182;23S
HIDRANTE-068;RUA MAJOR LINO LIMA 129 COM AVENIDA PEDRO HENRIQUE KRAMBECK (DUPLICADO);667035;7591284;23S
HIDRANTE-069;CORPO DE BOMBEIROS UFJF;668742;7590600;23S
HIDRANTE-070;AVENIDA DNAR ROCHA 313;666317;7592923;23S
HIDRANTE-071;RUA IVAN SOARES DE OLIVEIRA 940;669402;7593087;23S
HIDRANTE-072;RUA DOUTOR ROMEU ARCURI 60;671953;7591919;23S
HIDRANTE-073;RUA ALADIN SILVA 111;676276;7590768;23S
HIDRANTE-074;RUA DOMINGOS DELAMURA 80 COM RUA PEDRO TROGO;674290;7591434;23S
HIDRANTE-075;AV JK 524;666406;7595537;23S
HIDRANTE-076;RUA BADY GEARA 25;670621;7589052;23S
HIDRANTE-077;RUA PORTO DAS FLORES 239;670906;7590046;23S
HIDRANTE-078;RUA CONÊGO LAURO NEVES 111 (DUPLICADO);670611;7589101;23S
HIDRANTE-079;RUA DOUTOR MARCIANO PINTO (DUPLICADO);669497;7586884;23S
HIDRANTE-080;RUA CAMBUI( CONDOMINIO ALPHAVILLE);662780;7592053;23S
HIDRANTE-081;RUA PADRE ACACIO DUARTE 298;676682;7591673;23S
HIDRANTE-082;RUA JESUS RAYMUNDO COM DEUSDEDITH SALGADO;669259;7589763;23S
HIDRANTE-083;RUA PADRE ACACIO DUARTE 10;676490;7591387;23S
HIDRANTE-084;RUA SANTO ANTONIO COM SAO SEBASTIAO ;670396;7593083;23S
HIDRANTE-085;AVENIDA PEDRO HENRIQUE KRAMBECK 3901;665905;7591002;23S
HIDRANTE-086;AVENIDA BARÃO DE RIO BRANCO 3357;670949;7591611;23S
HIDRANTE-087;AVENIDA BARÃO DE RIO BRANCO 2327;670690;7592578;23S
HIDRANTE-088;AVENIDA JK 5537;663045;7599598;23S
HIDRANTE-089;AVENIDA RIO BRANCO 2495;670722;7592432;23S
HIDRANTE-090;RUA MARCIANO PINTO 1404;669488;7587327;23S
HIDRANTE-091;RUA MARCIANO PINTO 815;669833;7587827;23S
